Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
GoldSeason,,,,,Thanh Xuân,76,3.49,Tây - Bắc,Đông - Nam,2,2
King Palace,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,188,9,Đông - Bắc,Đông - Nam,3,3
FLC Landmark Tower,5,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,153,4,,,3,2
A10-A14 Nam Trung Yên,,,,Yên Hòa,Cầu Giấy,55,2,,,,
HPC Landmark 105,,,,La Khê,Hà Đông,117,2.95,Đông - Nam,Tây - Bắc,3,2
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,71,3.2,,,2,2
IA20 Ciputra,,,,Đông Ngạc,Bắc Từ Liêm,106,3.5,Bắc,Đông - Nam,3,2
An Bình Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,55.2,2.5,,Tây - Nam,2,1
Nhà ở cho CBCS Bộ Công an,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,74.5,3,Bắc,Nam,2,2
IA20 Ciputra,,,,Đông Ngạc,Bắc Từ Liêm,92,3.2,Nam,Bắc,3,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,59,2.5,,,2,2
Mipec City View,,,,Kiến Hưng,Hà Đông,69,1.9,Đông - Nam,Tây - Bắc,2,2
,,,Xã Đàn,Ô Chợ Dừa,Đống Đa,52,0.649,Đông,Đông - Nam,2,1
Dreamland Bonanza,23,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,96.7,4.9,Tây - Bắc,Đông - Nam,3,2
,,,Phạm Ngọc Thạch,Kim Liên,Đống Đa,51,0.868,Đông,Đông - Nam,2,1
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,139,5.5,Tây - Nam,Đông - Nam,3,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,132,7.9,Nam,Đông - Bắc,4,3
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,119,6.7,Nam,Bắc,3,2
Seasons Avenue,,,,Mỗ Lao,Hà Đông,80,2.95,Đông - Nam,,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82,4.55,Bắc,Nam,2,2
,,,Giải Phóng,Giáp Bát,Hoàng Mai,50,0.644,Tây,Nam,2,1
,,,Trương Định,Tương Mai,Hoàng Mai,55,0.84,Đông,Đông - Nam,2,1
Resco Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,65,2.25,Nam,Bắc,2,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,102,3.7,Tây - Nam,Đông - Nam,3,2
HH2 Linh Đàm,,,,Hoàng Liệt,Hoàng Mai,76.27,1.95,,,3,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,76,2.6,,,2,2
Ecohome Phúc Lợi,,,,Phúc Lợi,Long Biên,68,1.83,Tây - Nam,Đông - Bắc,2,2
Rivera Park Hà Nội,,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,72,3.8,Tây - Bắc,Đông - Nam,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,72.84,2.5,Tây - Bắc,Đông - Nam,2,2
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,85.17,3.41,,,,
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,74,2.07,,,2,2
Green Pearl 378 Minh Khai,378,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,88,4.6,,,3,2
Mandarin Garden 2,,,Trương Định,Tân Mai,Hoàng Mai,130,6.3,Bắc,Nam,3,2
Tây Hồ Residence,68,,Võ Chí Công,Xuân La,Tây Hồ,85,4.7,Tây - Bắc,Đông - Nam,3,2
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,75,2.8,Tây - Nam,Đông - Bắc,2,
,,,Hoàng Hoa Thám,Ngọc Hà,Ba Đình,52,0.655,Đông,Đông - Nam,2,1
Indochina Plaza,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,145,7.5,,,3,
Mandarin Garden 2,,,Trương Định,Tân Mai,Hoàng Mai,83,3.8,Bắc,Nam,2,2
N01-T7 Ngoại Giao Đoàn,,,,Xuân Tảo,Bắc Từ Liêm,101,5.5,Tây - Bắc,Đông - Nam,3,2
Heritage West Lake,677,,Lạc Long Quân,Phú Thượng,Tây Hồ,95,9,,,,
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74,3.7,,,2,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,88,5.6,Tây - Bắc,Đông - Nam,2,2
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,97,6,,,,
Five Star Kim Giang,,,Kim Giang,Kim Giang,Thanh Xuân,77,2.95,Tây - Bắc,Đông - Nam,2,2
Mỹ Đình I,,44/28,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,65,2.2,Nam,Đông - Bắc,2,1
,,,Bùi Xương Trạch,Khương Đình,Thanh Xuân,51,1.19,,,2,2
Trung Hòa Nhân Chính,,,,,Cầu Giấy,150,4.6,Tây - Nam,Đông - Bắc,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,35,0.65,Đông - Bắc,Đông - Nam,1,1
Heritage West Lake,677,,Lạc Long Quân,Phú Thượng,Tây Hồ,93,9.6,Nam,Bắc,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.5,,,2,1
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82,4.2,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,32,0.89,,,1,1
Mailand Hanoi City,,,Đại lộ Thăng Long,An Khánh,Hoài Đức,128,3.71,Đông - Nam,Tây - Bắc,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,65,2.65,Đông - Bắc,Đông - Nam,3,2
The Two Residence - Gamuda Garden,,,Pháp Vân,Yên Sở,Hoàng Mai,55,1.7,,,1,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.6,,,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,68,1.7,,,2,2
Việt Hưng,,,,Đức Giang,Long Biên,73,1.84,Đông - Bắc,Tây - Nam,2,2
Việt Hưng,,,,Đức Giang,Long Biên,75,1.7,Đông - Nam,Tây - Bắc,2,2
Mipec City View,,,,Kiến Hưng,Hà Đông,57,1.65,Tây - Bắc,Đông - Nam,2,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,30,1.2,,,1,1
Chung cư 789 Xuân Đỉnh,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,74.1,3,,,2,2
,,,Trần Quốc Hoàn,Nghĩa Đô,Cầu Giấy,70,1.8,,,2,2
187 Tây Sơn,,,Nguyễn Lương Bằng,Nam Đồng,Đống Đa,136,6.5,,Đông - Nam,4,2
Thành Phố Giao Lưu,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,88,2.8,,,3,
Harmony Square,,,Nguyễn Tuân,Nhân Chính,Thanh Xuân,123,4.5,,,3,
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,91,4.15,Đông - Nam,,3,
HH2 Linh Đàm,,,Nguyễn Phan Chánh,Hoàng Liệt,Hoàng Mai,67,1.55,Tây - Bắc,Đông - Nam,2,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,60.2,2.55,Tây - Bắc,Đông - Nam,2,2
The Terra An Hưng,,,Nguyễn Thanh Bình,Dương Nội,Hà Đông,140,5.1,Tây - Bắc,Đông - Nam,4,3
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,72,2.87,,,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,121,4,,Đông - Bắc,3,2
The Terra An Hưng,,,Tố Hữu,Dương Nội,Hà Đông,74,2.8,Tây - Bắc,Đông - Nam,2,2
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,117,5.3,,,3,
The Link 345-CT1,,,,Đông Ngạc,Bắc Từ Liêm,107,5.2,,,3,
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,113,5,,,3,2
Vinata Tower,289,,Khuất Duy Tiến,Trung Hòa,Cầu Giấy,87.2,3.9,Tây - Nam,Đông - Bắc,3,2
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,98,5,,,,
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,60,4.2,,,1,1
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,60,3,,,,
The Terra An Hưng,,,,Dương Nội,Hà Đông,90,3.3,Đông - Nam,Tây - Bắc,3,2
671 Hoàng Hoa Thám,,,Hoàng Hoa Thám,Liễu Giai,Ba Đình,112,4.9,,,2,
Indochina Plaza,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,117,5,,,3,2
Vinhomes West Point,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,112,4.8,,,3,2
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,128,9,,,3,
Heritage West Lake,,,Lạc Long Quân,Phú Thượng,Tây Hồ,58,3.42,Đông - Nam,,1,
One 18 Ngọc Lâm,19,298,Ngọc Lâm,Ngọc Lâm,Long Biên,120,3.6,,,3,
The Miami,,,,Tây Mỗ,Nam Từ Liêm,102,4.1,Tây - Bắc,Tây - Bắc,3,2
Hà Nội Aqua Central,44,,Yên Phụ,Trúc Bạch,Ba Đình,120,11,,,3,2
N01-T1 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,102,4.65,Bắc,Nam,3,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,102,4.1,,,3,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,47,1.2,,,1,1
Heritage West Lake,,,Lạc Long Quân,Phú Thượng,Tây Hồ,93,9.6,,,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,80,2.95,,,2,2
Mailand Hanoi City,,,Đại lộ Thăng Long,An Khánh,Hoài Đức,109,3.16,,,3,
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,72,3.3,Bắc,Nam,2,2
Watermark Tây Hồ,,,Lạc Long Quân,Nghĩa Đô,Cầu Giấy,78,4.1,,,2,
Diamond Park Plaza ,,,Láng Hạ,Thành Công,Ba Đình,125,11,Tây - Nam,,3,
Eco City Việt Hưng,,,,Giang Biên,Long Biên,86,3.3,Tây - Bắc,Đông - Nam,3,2
Diamond Park Plaza ,16,,Láng Hạ,Thành Công,Ba Đình,125,14,,,3,2
Văn Khê,,,,La Khê,Hà Đông,101,2.1,,,3,2
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,76,4,,,,
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,71,4.1,,,2,2
Bea Sky,,,,,Hoàng Mai,86,3.8,Đông - Bắc,Tây - Nam,3,2
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,175,6.3,Đông - Nam,,4,3
Five Star Kim Giang,,,Kim Giang,Kim Giang,Thanh Xuân,85,3.6,,,3,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,94,4.4,Tây - Nam,Đông - Nam,2,2
Five Star Kim Giang,,,Kim Giang,Kim Giang,Thanh Xuân,75,2.95,Tây - Nam,Đông - Bắc,2,2
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,76,4,,,,
C37 Bộ Công An - Bắc Hà Tower,,,Tố Hữu,Trung Văn,Nam Từ Liêm,95,3.2,,,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,107,4.6,Tây - Bắc,Đông - Nam,3,2
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,95,3.75,,,3,2
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,150,5.6,,,,
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,75,2.7,Tây - Nam,Đông - Bắc,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,67,2.55,Tây - Nam,Đông - Bắc,2,2
Hateco Laroma,,,Chùa Láng,Láng Thượng,Đống Đa,150,11.7,,,4,3
Hope Residence,,,Chu Huy Mân,Phúc Đồng,Long Biên,55,1.6,,,2,
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,58,1.5,Tây - Nam,Tây - Bắc,2,1
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,67,2.3,Tây - Bắc,Đông - Nam,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.8,Tây - Bắc,Đông - Nam,3,2
Vinhomes Metropolis - Liễu Giai,,,Liễu Giai,Ngọc Khánh,Ba Đình,50,4.6,Nam,Bắc,1,1
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,92,4.5,Tây - Bắc,Đông - Nam,2,2
Ciputra Hà Nội,,,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,117,4.1,,,3,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,82,3.43,,,2,2
Sunshine Center,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,153.2,7.2,,,,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,98,4.4,Tây - Bắc,Đông - Nam,3,2
An Lạc Green Symphony,,,,,Hoài Đức,67,2.5,,,2,2
Oriental Westlake,,,Lạc Long Quân,Bưởi,Tây Hồ,78,4.15,,,2,2
PentStudio,,,Lạc Long Quân,Phú Thượng,Tây Hồ,76,5.3,,,1,2
PentStudio,,,Lạc Long Quân,Phú Thượng,Tây Hồ,150,10.5,,,2,3
Udic Westlake,,,Võ Chí Công,Phú Thượng,Tây Hồ,116,4.7,,,3,2
Hateco Laroma,,,,Láng Thượng,Đống Đa,113,8.3,,,3,2
Hateco Laroma,,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,113,8.1,Đông,Tây,3,2
Hateco Laroma,4A,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,81,6.8,Tây,Tây,2,2
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66,2.5,,,2,2
Moonlight I - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66,2.5,,,2,2
Thống Nhất Complex,82,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90,3.9,Tây - Bắc,Đông - Nam,3,2
HC Golden City,,,,Bồ Đề,Long Biên,82,3.55,Tây - Nam,Đông - Bắc,3,2
HH1 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,46,1.07,,,1,1
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75,3.8,,,2,
N05 Trần Duy Hưng,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,162,6.64,Tây - Bắc,Đông - Nam,3,3
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,103,5,,,3,2
Vinhomes Symphony Riverside,,,,Việt Hưng,Long Biên,126,6.7,Đông - Nam,Tây - Bắc,4,3
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,89,4.8,,,3,2
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,60,3.1,Đông - Bắc,Tây - Nam,2,1
Grand Sunlake,,,,,Hà Đông,96,3.17,,,3,
Khu nhà ở 183 Hoàng Văn Thái,,,Hoàng Văn Thái,Khương Trung,Thanh Xuân,78.5,2.98,Đông - Nam,Đông - Nam,2,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,78,4.2,Nam,Bắc,2,2
N05 Trần Duy Hưng,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,181,7.78,Đông - Nam,Tây - Bắc,3,3
Vinhomes Times City - Park Hill,,,,,Hai Bà Trưng,106,6.2,Tây,Đông,3,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,118,4.01,,,3,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,110,4,,,3,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,69,2.8,Đông - Bắc,,2,
137,,,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,80,2.9,,,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,83,3.75,Nam,Bắc,2,2
Vimeco II - Nguyễn Chánh,,,Nguyễn Chánh,Trung Hòa,Cầu Giấy,133,4.92,Đông - Nam,Tây - Bắc,3,2
CT4 Vimeco II,,,Nguyễn Chánh,Trung Hòa,Cầu Giấy,105,4,Tây - Nam,Đông - Bắc,2,2
Phương Đông Green Home,,,Việt Hưng,Đức Giang,Long Biên,81.4,2.9,Đông - Nam,Tây - Bắc,3,2
GoldSilk Complex,430,,Cầu Am,Vạn Phúc,Hà Đông,68,2.45,Tây - Bắc,Đông - Nam,2,1
,,,Yên Phúc,Phúc La,Hà Đông,134,4.62,,,,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,118,3.5,Tây - Bắc,Đông - Nam,3,
GoldSilk Complex,,,Cầu Am,Vạn Phúc,Hà Đông,135,3.65,Tây - Bắc,Đông - Nam,3,2
Rivera Park Hà Nội,,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,70,3.5,Tây - Bắc,Đông - Nam,2,2
Tòa Tháp Thiên Niên Kỷ,,,Quang Trung,Yết Kiêu,Hà Đông,95,3.2,Đông - Bắc,Đông - Nam,2,2
Mipec City View,,,,,Hà Đông,61.5,1.7,,,2,2
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,116,3.9,Tây - Bắc,Đông - Nam,3,2
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,75,2.8,Đông - Bắc,Tây - Nam,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,96,3.7,,Đông - Nam,3,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,104,6,Đông - Bắc,Đông - Nam,3,2
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,98,7.95,,,2,
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,70,4.2,Nam,Đông - Bắc,2,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,140,4.9,,Đông - Bắc,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,106,8,Tây - Nam,Đông - Bắc,3,2
Ciputra Hà Nội,,,Lạc Long Quân,Phú Thượng,Tây Hồ,123,4.6,Tây - Bắc,Đông - Nam,3,2
Legend Tower 109 Nguyễn Tuân,,,Nguyễn Tuân,Nhân Chính,Thanh Xuân,186,10,Đông - Nam,Tây - Bắc,4,3
Dolphin Plaza,28,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,191,7,Tây,Nam,4,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80,3.8,Đông - Nam,Tây - Bắc,3,
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,102,4,Tây - Bắc,Đông - Nam,3,3
The Golden Palm Lê Văn Lương,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,66,3,,,,
Riverside Garden,,,Vũ Tông Phan,Khương Đình,Thanh Xuân,65,2.6,Đông - Bắc,Tây - Nam,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198,6.5,Tây - Bắc,Đông - Nam,4,3
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90,4.3,Tây - Bắc,Đông - Nam,3,2
Sun Square,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,92,3.6,,,3,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,109,3.7,Tây - Bắc,Đông - Nam,3,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117,3.65,Tây - Bắc,Đông - Nam,2,2
Golden Land,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,145,5.3,Tây - Bắc,Đông - Nam,3,2
Tây Hồ River View,,,Thượng Thụy,Phú Thượng,Tây Hồ,92,3.85,Bắc,Nam,3,2
Ecolife Tây Hồ,,,,Xuân La,Tây Hồ,409.7,18.325,Nam,Đông,5,4
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,120,7.5,,,2,3
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,66,3.1,Tây - Bắc,Đông - Nam,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,186,6,Tây - Bắc,Đông - Nam,4,3
Khai Sơn City,,,,Thượng Thanh,Long Biên,78,2.89,Tây - Bắc,Đông - Nam,2,2
Khai Sơn City,,,,Ngọc Thụy,Long Biên,78,2.89,Tây - Bắc,Đông - Nam,2,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,74,2.59,Tây - Bắc,Đông - Nam,2,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,74,2.59,Tây - Bắc,Đông - Nam,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,70,3,,,,
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,74,2.59,Tây - Bắc,Đông - Nam,2,2
KĐT Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,83,2.95,,,2,
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,139,9,,,3,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.55,Đông - Nam,Tây - Bắc,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,100,5.15,Tây - Bắc,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,81,3.88,Tây - Nam,Đông - Bắc,2,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,116,3.8,,Đông - Nam,3,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,105,3,Nam,Đông - Nam,2,
Toà nhà 93 Lò Đúc - Kinh Đô Tower,,,,,Hai Bà Trưng,98,4.61,Nam,Tây,2,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,75,2.65,,,2,2
Tràng An Complex,,,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,90,4.29,Nam,Bắc,3,2
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,110,3.4,Đông - Nam,Đông - Nam,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,95,3.95,,,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,75,2.65,,,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,84,2.5,,,2,
Discovery Central,,,,,Ba Đình,55,3.5,,,1,1
The Park Home,,,Thành Thái,Dịch Vọng,Cầu Giấy,125,7.69,,,,
Làng Việt Kiều Châu Âu Euroland,,,,Mỗ Lao,Hà Đông,188,5.7,,,3,
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,54,2.755,Đông - Nam,Tây - Bắc,2,2
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,41.2,1.75,,Đông - Nam,1,1
MHD Trung Văn,29,,Tố Hữu,Trung Văn,Nam Từ Liêm,136,5.3,Đông - Bắc,Tây - Nam,4,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2.72,,,2,2
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,41.2,1.75,Tây - Bắc,Đông - Nam,1,1
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,80,3.1,,,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,94,2.9,,,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,140,5.46,Tây - Bắc,Đông - Nam,4,3
The Terra An Hưng,,,,Dương Nội,Hà Đông,74,2.78,Đông - Nam,Tây - Bắc,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,97,3.58,Tây - Bắc,Đông - Nam,3,2
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,78,2.75,Đông - Nam,Tây - Bắc,2,2
Newhouse Xa La,,,,Phúc La,Hà Đông,71.72,2.29,Tây - Bắc,Đông - Nam,2,2
VP5 Linh Đàm,,,Nguyễn Duy Trinh,Hoàng Liệt,Hoàng Mai,60.7,1.95,Tây - Nam,Đông - Nam,2,2
Đại Thanh,,,,Tả Thanh Oai,Thanh Trì,77,1.74,Tây - Bắc,Đông - Nam,3,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,85,3.05,,,3,2
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,88,3.2,Đông - Bắc,Tây - Nam,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,68,2.09,,,2,2
Riverside Garden,,,Vũ Tông Phan,Khương Đình,Thanh Xuân,53,2.3,,,2,1
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,68,2.5,,,2,2
FLC Landmark Tower,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,159,3.8,Đông - Nam,Tây - Bắc,3,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,95,4.5,,Đông - Nam,2,2
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,62,2.05,,,2,1
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,79,2.945,,,2,2
Riverside Garden,,,Vũ Tông Phan,Khương Đình,Thanh Xuân,83,3.6,,,3,2
Mipec City View,,,,,Hà Đông,51,1.5,Tây - Nam,Đông - Bắc,2,1
An Bình Plaza,99,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,83,3,,,,
Hope Residence,,,Chu Huy Mân,Phúc Đồng,Long Biên,57,1.7,,,2,1
Sky Park Residence,,,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,98,4.9,,,2,2
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,55,2.15,,Đông - Nam,2,1
N03-T2 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,87,4,,,,
